// X Y Z radius R G B intensity
// Bridge lights
1057,52 38,90717 -177,0158 38,1001 15 148 27 0,8349997
1054,944 15,65211 -261,5952 19,1001 15 148 27 1,035
1056,83 21,86964 -228,4925 19,1001 15 148 27 1,035
1055,755 8,541867 -291,0009 19,1001 0 177 144 1,035
1037,126 6,743156 -309,9678 19,1001 16 126 60 1,035
1051,745 1,344171 -331,5117 19,1001 33 126 100 1,035
1033,38 -3,854615 -349,3083 35,1001 33 126 100 1,035
1045,743 17,74216 -294,4833 35,1001 33 126 100 1,035
1023,945 -20,01146 -417,5809 35,1001 33 126 100 1,035
1010,25 -41,05885 -470,7724 35,1001 33 126 100 1,035
1023,114 -21,69134 -388,7285 13,1001 45 52 121 1,035
1040,545 -21,69134 -393,2169 13,1001 45 52 121 1,035
1029,824 -33,87033 -434,8543 13,1001 45 52 121 1,035
1015,298 -33,87033 -431,114 13,1001 45 52 121 1,035
//Terrain lights
-219,775 36,35671 251,6845 101 204 125 74 1
-425,4323 -1,142058 176,5327 56 119 48 15 1
-520,7004 -17,54138 201,7578 56 119 48 15 1
-541,2975 24,47637 225,7627 38 119 48 15 1
-149,2571 25,97068 757,8952 185 192 158 168 1
-883,5913 0,09898573 755,4401 225 192 158 168 1
-884,0004 23,57496 246,0985 225 192 158 168 1
-967,4444 -3,989249 -681,9429 158 160 88 114 1
-998,8865 -12,5963 -899,7324 158 160 88 114 1
-907,6512 -9,397408 -1088,982 158 160 88 114 1
-267,5744 21,64896 -1242,953 158 160 88 114 1,949999
-364,5386 -38,63245 -1146,411 96 154 132 15 1,949999
409,4277 16,41922 -1001,266 96 43 68 34 1,599999
465,6732 7,159766 -1202,764 96 43 68 34 1,599999
947,4683 2,730211 -1030,103 96 134 140 195 0,6999999
632,1843 -22,98537 -1223,575 96 134 140 195 0,6999999
785,2419 -40,96243 -1149,717 96 134 140 195 0,6999999
861,8377 -36,93816 -1038,285 96 134 140 195 0,6999999
668,5678 -28,10233 -1104,309 96 134 140 195 0,6999999
541,9129 -8,299492 -1106,059 96 134 140 195 0,6999999
589,6976 -8,58117 -1154,97 96 134 140 195 0
